,en,ru
UI_CLOSE,Close,Закрыть
UI_EN,English,Английский
UI_MENU_TEXT,Touch to start game,Коснитесь чтобы начать игру
UI_MENU,Back to menu,Назад к меню
UI_MUSIC,Music,Музыка
UI_NO,No,Нет
UI_PAUSE,Pause,Пауза
UI_QUIT_TEXT,Are you sure whant to exit?,Вы действительно хотите выйти?
UI_QUIT,Quit,Выход
UI_RESET_TEXT,Are you sure whant to reset your game progress?,Вы действительно хотите сбросить Ваш игровой прогресс?
UI_RESET,Reset,Сброс
UI_ROTATION,Rotation,Поворот
UI_RU,Russian,Русский
UI_SOUND,Sound,Звук
UI_VIBRATION,Vibration,Вибрация
UI_YES,Yes,Да
